"Note: The Microsoft product information contained in this document at the time of its publication is a representative example of products offered through various Visual Studio Subscription levels. To confirm specific product availability, visit https://my.visualstudio.com/downloads/. The below product offerings contained in this document are accurate at the time of publication. Microsoft reserves the right to change these product offerings at any time.
"BizTalk Server 2006 Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2009 Branch","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2009 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2009 Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2009 RFID","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2009 Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2010 Branch","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2010 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2010 Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2010 RFID","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2010 Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2013 Branch Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2013 Developer Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2013 Enterprise Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2013 R2 Branch Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2013 R2 Developer Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2013 R2 Enterprise Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2013 R2 Standard Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2013 Standard Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2016 Branch Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2016 Developer Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü","ü"
"BizTalk Server 2016 Enterprise Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2016 Standard Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2020 Branch Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2020 Developer Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü","ü"
"BizTalk Server 2020 Enterprise Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"BizTalk Server 2020 Standard Edition","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Bookshelf Symbol 7","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Build Tools for Visual Studio 2017 (version 15.0)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü","ü"
"Build Tools for Visual Studio 2017 (version 15.9)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü","ü"
"Build Tools for Visual Studio 2019 (version 16.0)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü","ü"
"Build Tools for Visual Studio 2019 (version 16.4)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü","ü"
"Build Tools for Visual Studio 2019 (version 16.7)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü","ü"
"Build Tools for Visual Studio 2019 (version 16.8)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","","","ü","ü"
"Business Contact Manager","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Business Contact Manager for Outlook 2010","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Business Contact Manager Service Pack","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Business ScoreCard Manager Service Pack","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Captions Language Interface Pack for Microsoft Visual Studio 2010","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","","ü","","ü","ü","ü","ü","ü"
"CMC SDK","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Commerce Server 2002 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Commerce Server 2002 Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Commerce Server 2002 Feature Pack","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Commerce Server 2002 Service Pack","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Commerce Server 2002 Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Commerce Server 2007 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Commerce Server 2009 Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Commerce Server 2009 R2","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Compute Cluster Pack","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Compute Cluster Pack SDK and DDKs","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Compute Cluster Pack Service Pack","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Connected Services Framework 3.0","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Connected Services Framework Developer","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Connected Services Framework Developer Lite","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Connected Services Framework Service Pack","ü","ü","ü","","ü","","","","","","","","","ü","","ü","ü","ü","","","","","ü",""
"Content Management Server 2001","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Content Management Server 2002 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Content Management Server 2002 Service Pack","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"Content Management Server 2002 Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"CRC 3.05","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
